Project,Group,Connections,Twitter,Image,Popup
0xdaoApe,#FFCC00,12,0xdaoape,https://pbs.twimg.com/profile_images/1475869715058900994/7aKGFe00_normal.jpg,"<strong>daoApe #PublicGoods</strong> | <a href=""https://twitter.com/0xdaoape"">@0xdaoape</a><p>Highly subjective commentary on what's going on around the DAOsphere. EN/TR </p><a href=""https://t.co/4u8EwQwIUk"">mirror.xyz/0x4529921387f7…</a>"
1Hive,#FFCC00,18,1hiveorg,https://pbs.twimg.com/profile_images/1276286557494837248/SgXEhvrc_normal.png,"<strong>1Hive 🐝</strong> | <a href=""https://twitter.com/1HiveOrg"">@1HiveOrg</a><p>A community of web3 builders </p><a href=""https://t.co/ropJm3jXtq"">1hive.org</a>"
1Hive Gardens,#FFCC00,13,gardensdao,https://pbs.twimg.com/profile_images/1479201973362577408/QreY0Mgx_normal.png,"<strong>gardens</strong> | <a href=""https://twitter.com/gardensdao"">@gardensdao</a><p>Gardens are composable, sufficiently decentralized, and self-improving DAOs, limited only by your collective imagination - from the @1hiveorg ecosystem 🐝 </p><a href=""https://t.co/cyzuXlywAd"">gardensdao.eth.limo</a>"
AYOWECCA,#02E2AC,9,ayowecca_uganda,https://pbs.twimg.com/profile_images/1256915740197863425/YXN0dsRN_normal.jpg,"<strong>AYOWECCA UGANDA For Climate Change</strong> | <a href=""https://twitter.com/ayowecca_uganda"">@ayowecca_uganda</a><p>Protecting Natural Resources, Adaptation to #ClimateChange, Conservations, SRHR, Skills Development & Empowering Women & Children. Author @j_olwenyi #SDGs </p><a href=""https://t.co/fq4VphfHdD"">ayoweccauganda.org</a>"
AcreDAOS,#02E2AC,32,acredaos,https://pbs.twimg.com/profile_images/1461360204755308552/pM4Wpc8G_normal.jpg,"<strong>ACRE DAOs</strong> | <a href=""https://twitter.com/ACREDAOs"">@ACREDAOs</a><p>Autonomous Communities for Regenerative Economies (ACRE)<br>Web3 Community of ReFi & Impact DAOs<br>🌎 A new model for environmental and social impact </p><a href=""https://t.co/PwQukvxWo8"">acredaos.com</a>"
Aera Force,#02E2AC,27,aeraforce,https://pbs.twimg.com/profile_images/1509925596364685320/i8Ens9Wd_normal.jpg,"<strong>Aera Force</strong> | <a href=""https://twitter.com/AeraForce"">@AeraForce</a><p>Aera Force is a VC DAO investing in our collective #ReFi future 💚🌎 <br>Subscribe to our weekly ReFi deep-dive to explore with us 👉 https://t.co/E1N84pFZJ4 </p><a href=""https://t.co/UxNKIFlMS3"">AeraForce.xyz</a>"
All for Climate DAO,#02E2AC,56,all4climatedao,https://pbs.twimg.com/profile_images/1461336359734554627/Zd05zz8c_normal.jpg,"<strong>All for Climate DAO 🌍🌱</strong> | <a href=""https://twitter.com/all4climatedao"">@all4climatedao</a><p>Building a 21st century movement of citizens taking action in the social and ecological crisis. Connected globally, rooted locally, we are #allforclimate. </p><a href=""https://t.co/nfVbhEf4e7"">dao.allforclimate.earth</a>"
Angel Protocol,#F3587D,9,angelprotocol,https://pbs.twimg.com/profile_images/1385343617225560068/Z0nRwp37_normal.jpg,"<strong>Angel Protocol 😇</strong> | <a href=""https://twitter.com/angelprotocol"">@angelprotocol</a><p>Terra-based protocol for creating perpetual charity endowments. The Gift that keeps on giving, forever. </p><a href=""https://t.co/0TNWAmj31g"">angelprotocol.io</a>"
AntidoteDAO,#F3587D,49,antidotedao,https://pbs.twimg.com/profile_images/1508297064630956040/rc4hlH4Y_normal.png,"<strong>AntidoteDAO🎗☻</strong> | <a href=""https://twitter.com/AntidoteDao"">@AntidoteDao</a><p>AntidoteDAO is an Altruistic #Web3 #DAO Dedicated to Funding Various Cancer Initiatives Directly, Democratically, and Transparently </p><a href=""https://t.co/0yudgwWpBK"">hoo.be/antidotedao</a>"
Ants-review,#F3587D,17,antsreview,https://pbs.twimg.com/profile_images/1266760531412692992/amsBtaCr_normal.jpg,"<strong>Ants-Review (🐜 , 🌱) 🦇🔊</strong> | <a href=""https://twitter.com/AntsReview"">@AntsReview</a><p>#DeSci ~ Incentivizing Scientific Peer-Reviews on #Ethereum est. 2020🚀 #OpenScience |🥇@ETHTurin 🌱@KERNEL0x KB1 |🗣️@euro_par 2020 | 💰@gitcoin Grants </p><a href=""https://t.co/LXcxGIfOVw"">linktr.ee/antsreview</a>"
