,UID,Project Name,Twitter,Logo URL,DAO Friends,DAO Followers
0,1049744320356470784,Grow Your Own Cloud,_gyoc,http://pbs.twimg.com/profile_images/1049744592596172800/Sjcjq22N_normal.jpg,"Molecule, ClimateDAO , Clime DAO, Protein Community, Gitcoin","Clime DAO, PrimeDAO, Protein Community"
1,1370576489909993472,_slow_crypto - Fabrics of Reality,_slow_crypto,http://pbs.twimg.com/profile_images/1491209412874285061/bAuU-d5Q_normal.jpg,"ForeFront, Regen Network, Kernel, Surge Women, 1Hive, Gitcoin, Dream DAO, SuperBenefit, Leyline, DoinGud",
2,1475869555826253828,0xdaoApe,0xdaoape,http://pbs.twimg.com/profile_images/1475869715058900994/7aKGFe00_normal.jpg,"Longtail Financial, Kleros, Regen Network, Proof of Humanity, PrimeDAO, KlimaDAO, 1Hive, Gitcoin, GitcoinDAO, TEC, Giveth, 1Hive Gardens","Giveth, TEC"
3,996552749893304320,1Hive,1hiveorg,http://pbs.twimg.com/profile_images/1276286557494837248/SgXEhvrc_normal.png,"Curve Labs, 1Hive Gardens, GitcoinDAO","_slow_crypto - Fabrics of Reality, 0xdaoApe, Citizen DAO, Curve Labs, DeveloperDAO, 1Hive Gardens, Gitcoin, Giveth, Kokonut Network, Kolektivo, Longtail Financial, Panvala, PrimeDAO, Protein Community, Spark Eco, TEC, voizdao"
4,1884644034,NFTREE,a_micorriza,http://pbs.twimg.com/profile_images/378800000493225239/6ce090ef322401c65eb0c8e4a1e2a816_normal.jpeg,,
5,1352737184076476417,Acerola Fund,acerolafund,http://pbs.twimg.com/profile_images/1353749069131296781/XKissMx__normal.jpg,,
6,1403870329366355969,AcreDAOS,acredaos,http://pbs.twimg.com/profile_images/1461360204755308552/pM4Wpc8G_normal.jpg,"Toucan, ReFi DAO, Return Protocol, Kokonut Network, The Eden Dao, Blockchain for Climate foundation, All for Climate DAO, Giveth, DOER Money DAO, Open Forest Protocol , Regen Network, Impact, Giving Block, VitaDAO, KlimaDAO, DoinGud, AYOWECCA, Endaoment","Aera Force, All for Climate DAO, AntidoteDAO, Avano, Basin DAO, Bloomeria, Carbon Captors , Carbon Collectible NFTs, Citizen DAO, ClimateDAO , Xplorer Club. Environment.wiki, DOER Money DAO, EarthFund, Endaoment, Kokonut Network, LOA Labs, Bloom Network, PrimeDAO, ReFi DAO, Regen Network, Return Protocol"
7,1468747986230513677,Aera Force,aeraforce,http://pbs.twimg.com/profile_images/1509925596364685320/i8Ens9Wd_normal.jpg,"Citizen DAO, Return Protocol, AcreDAOS, Basin DAO, Protein Community, Ecorise, All for Climate DAO, Blockchain for Climate foundation, ClimateDAO , The Eden Dao, KlimaDAO, Toucan","AntidoteDAO, Avano, Carbon Captors , Carbon Collectible NFTs, ClimateDAO , Xplorer Club. Environment.wiki, Cool Points Club, Earthbanc, ixo, LOA Labs, Bloom Network, PrimeDAO, Protein Community, ReFi DAO, Regen Network, Return Protocol, senken, Solid World DAO"
8,1500467943649464330,Intra-Action Dao,afetakyaka,http://pbs.twimg.com/profile_images/1500468140878319622/pxfMpcFf_normal.png,,
9,1460801607940116486,All for Climate DAO,all4climatedao,http://pbs.twimg.com/profile_images/1461336359734554627/Zd05zz8c_normal.jpg,"Nori, ixo, EthicHub, Return Protocol, ReFi DAO, Future Foundation, Curve Labs, Ecorise, Open Forest Protocol , Diatom DAO, Citizen DAO, ClimateDAO , Ecodao, Kolektivo, Earthcoin, AcreDAOS, The Eden Dao, KlimaDAO, GitcoinDAO, Spark Eco, DeveloperDAO, AYOWECCA, Giveth, Regen Network, Toucan, Bloom Network, Blockchain for Climate foundation, Dream DAO","AcreDAOS, Aera Force, AntidoteDAO, Avano, Basin DAO, Blood M1n3, Bloomeria, Carbon Captors , Carbon Collectible NFTs, Cherubs DAO, Citizen DAO, Climate Finance DAO, Clime DAO, Xplorer Club. Environment.wiki, DeveloperDAO, Earth.fm, EarthFund, Ecorise, Gitcoin, GrüenDAO, ixo, katalyst.earth, Kokonut Network, LOA Labs, Longtail Financial, Menthol Protocol, Open Earth Foundation, Bloom Network, Protein Community, ReFi DAO, Return Protocol, senken, Solid World DAO, Sovereign Nature Initiative, Spark Eco, Treejer, MOONJELLY"
10,225901353,Edible Burners,amboscoboinik,http://pbs.twimg.com/profile_images/1487932556687425537/s4NhFLIa_normal.jpg,"Socialstack, VitaDAO, Proof of Humanity, Proof of Integrity, PizzaDAO, DeveloperDAO, EthStaker","Blood M1n3, Proof of Integrity"
11,1384732309123829761,Angel Protocol,angelprotocol,http://pbs.twimg.com/profile_images/1385343617225560068/Z0nRwp37_normal.jpg,"Regen Network, Future Foundation","AntidoteDAO, Citizen DAO, Xplorer Club. Environment.wiki, Impact, ixo, Leyline, Future Foundation, Protein Community"
12,1486470137381371904,AntidoteDAO,antidotedao,http://pbs.twimg.com/profile_images/1508297064630956040/rc4hlH4Y_normal.png,"Curve Labs, Cabin, Cohere, OpSci, Impact, Endaoment, ixo, LOA Labs, GitcoinDAO, Surge Women, Ecorise, Decent DAO, Future Foundation, Angel Protocol, LabDAO, Popcorn Network, Open Forest Protocol , PsyDAO, Meta Gamma Delta DAO , Carbon Captors , Cherubs DAO, Aera Force, KlimaDAO, Thirsty Thirsty, BioDAO, Citizen DAO, DeveloperDAO, Basin DAO, Solid World DAO, All for Climate DAO, Avano, EarthFund, Diatom DAO, Give Safely, Return Protocol, HumanDAO, Regen Network, Foresight Institute DAO, dClimate, Giving Block, ClimateDAO , AcreDAOS, ReFi DAO, Molecule, The Eden Dao, VitaDAO, Dream DAO, PrimeDAO","Blood M1n3, Carbon Captors , Cherubs DAO, Kokonut Network, OpSci, Future Foundation, Solid World DAO, VitaDAO"
13,1261307955464593410,Ants-review,antsreview,http://pbs.twimg.com/profile_images/1266760531412692992/amsBtaCr_normal.jpg,"Surge Women, Lynx, LabDAO, TEC, VitaDAO, Molecule, Atoms, OpSci, DoinGud, Kernel, Parcel.money, Meta Gamma Delta DAO , she256, GitcoinDAO, Planetary Resilience DAO, Cosmos","Planetary Resilience DAO, Molecule, OpSci, PR1S0N Art"
14,1384244604124340229,Aquari,aquariofficial,http://pbs.twimg.com/profile_images/1390675212581097473/Zjzkwdqm_normal.jpg,,"ClimateDAO , Kokonut Network, LOA Labs"
15,3184528398,Artizen,artizenfund,http://pbs.twimg.com/profile_images/1354930931719491585/3e-XZrvq_normal.jpg,"DoinGud, Crypto Culture and Society, ClimateDAO , Regen Network, Protein Community, she256, Solid World DAO, Ecodao, KlimaDAO, Cabin, Proof of Humanity, Kleros, GitcoinDAO","ClimateDAO , Protein Community, Solid World DAO"
16,1301143980357419008,Astral Protocol,astralprotocol,http://pbs.twimg.com/profile_images/1301144670177820672/qX3mlQtp_normal.jpg,"Regen Network, Celo, dClimate, Return Protocol, Project Ark, Toucan, GitcoinDAO, Geo Web, Open Forest Protocol , KlimaDAO, Curve Labs, PR1S0N Art, Bloom Network, Kernel","Avano, Carbon Captors , Celo, Curve Labs, dClimate, Planetary Resilience DAO, Kokonut Network, Kolektivo, Open Forest Protocol , Bloom Network, PR1S0N Art, PrimeDAO, Protein Community, Regen Network, Return Protocol, Sovereign Nature Initiative, Geo Web, Toucan, MOONJELLY"
