,Project,Group,Connections,Image,Twitter URL,Twitter Handle,Description,Webpage,V0 - Impact Cartography,V1 - ImpactDAOs Survey
0,0xdaoApe,#FFCC00,12,https://pbs.twimg.com/profile_images/1475869715058900994/7aKGFe00_normal.jpg,https://twitter.com/0xdaoape,@0xdaoape,Highly subjective commentary on what's going on around the DAOsphere. EN/TR,mirror.xyz/0x4529921387f7…,False,True
1,1Hive,#FFCC00,18,https://pbs.twimg.com/profile_images/1276286557494837248/SgXEhvrc_normal.png,https://twitter.com/1hiveorg,@1hiveorg,A community of web3 builders,1hive.org,False,True
2,1Hive Gardens,#FFCC00,13,https://pbs.twimg.com/profile_images/1479201973362577408/QreY0Mgx_normal.png,https://twitter.com/gardensdao,@gardensdao,"Gardens are composable, sufficiently decentralized, and self-improving DAOs, limited only by your collective imagination - from the @1hiveorg ecosystem 🐝",gardensdao.eth.limo,False,True
3,AYOWECCA,#02E2AC,9,https://pbs.twimg.com/profile_images/1256915740197863425/YXN0dsRN_normal.jpg,https://twitter.com/ayowecca_uganda,@ayowecca_uganda,"Protecting Natural Resources, Adaptation to #ClimateChange, Conservations, SRHR, Skills Development & Empowering Women & Children. Author @j_olwenyi #SDGs",ayoweccauganda.org,False,True
4,AcreDAOS,#02E2AC,32,https://pbs.twimg.com/profile_images/1461360204755308552/pM4Wpc8G_normal.jpg,https://twitter.com/acredaos,@acredaos,"Autonomous Communities for Regenerative Economies (ACRE)
Web3 Community of ReFi & Impact DAOs
🌎 A new model for environmental and social impact",acredaos.com,True,False
5,Aera Force,#02E2AC,27,https://pbs.twimg.com/profile_images/1509925596364685320/i8Ens9Wd_normal.jpg,https://twitter.com/aeraforce,@aeraforce,"Aera Force is a VC DAO investing in our collective #ReFi future 💚🌎 
Subscribe to our weekly ReFi deep-dive to explore with us 👉 https://t.co/E1N84pFZJ4",AeraForce.xyz,False,True
6,All for Climate DAO,#02E2AC,56,https://pbs.twimg.com/profile_images/1461336359734554627/Zd05zz8c_normal.jpg,https://twitter.com/all4climatedao,@all4climatedao,"Building a 21st century movement of citizens taking action in the social and ecological crisis. Connected globally, rooted locally, we are #allforclimate.",dao.allforclimate.earth,True,True
7,Angel Protocol,#4D82C1,9,https://pbs.twimg.com/profile_images/1385343617225560068/Z0nRwp37_normal.jpg,https://twitter.com/angelprotocol,@angelprotocol,"Terra-based protocol for creating perpetual charity endowments. The Gift that keeps on giving, forever.",angelprotocol.io,True,False
8,AntidoteDAO,#4D82C1,49,https://pbs.twimg.com/profile_images/1508297064630956040/rc4hlH4Y_normal.png,https://twitter.com/antidotedao,@antidotedao,"AntidoteDAO is an Altruistic #Web3 #DAO Dedicated to Funding Various Cancer Initiatives Directly, Democratically, and Transparently",hoo.be/antidotedao,False,True
9,Ants-review,#F3587D,17,https://pbs.twimg.com/profile_images/1266760531412692992/amsBtaCr_normal.jpg,https://twitter.com/antsreview,@antsreview,#DeSci ~ Incentivizing Scientific Peer-Reviews on #Ethereum est. 2020🚀 #OpenScience |🥇@ETHTurin 🌱@KERNEL0x KB1 |🗣️@euro_par 2020 | 💰@gitcoin Grants,linktr.ee/antsreview,True,False
10,Aquari,#02E2AC,3,https://pbs.twimg.com/profile_images/1390675212581097473/Zjzkwdqm_normal.jpg,https://twitter.com/aquariofficial,@aquariofficial,Aquari is a community governed cryptocurrency with the goal to restore all polluted bodies of water on Earth. Telegram: https://t.co/B2zgha61bW,aquarifoundation.com,True,False
11,Artizen,#FFCC00,13,https://pbs.twimg.com/profile_images/1354930931719491585/3e-XZrvq_normal.jpg,https://twitter.com/artizenfund,@artizenfund,"We're raising $1B for art, science, and public goods. Donate to earn NFTs from the brightest creators in your community and become an owner of the Artizen DAO.",artizen.fund,False,True
12,Astral Protocol,#FFCC00,23,https://pbs.twimg.com/profile_images/1301144670177820672/qX3mlQtp_normal.jpg,https://twitter.com/astralprotocol,@astralprotocol,Public goods for spatial and location data on the decentralized web.,astral.global,False,True
13,Atoms,#F3587D,5,https://pbs.twimg.com/profile_images/1408969527333847042/4-ZuTQNE_normal.jpg,https://twitter.com/atoms_org,@atoms_org,Building a flourishing research ecosystem.,atoms.org,False,True
14,Avano,#02E2AC,42,https://pbs.twimg.com/profile_images/1494445096053325842/zxT6DGVz_normal.jpg,https://twitter.com/avano_io,@avano_io,LinkTree: https://t.co/D3dGebq8uA,,False,True
15,Basin DAO,#02E2AC,40,https://pbs.twimg.com/profile_images/1463399377402314760/DNY9cgtS_normal.jpg,https://twitter.com/basindao,@basindao,unlocking #carbon + #naturalcapital value in #realassets using #web3,basinDAO.com,True,False
16,BioDAO,#F3587D,6,https://pbs.twimg.com/profile_images/1485042580177907714/n0Inv55w_normal.jpg,https://twitter.com/biodaoxyz,@biodaoxyz,"The global biotech ecosystem enabled by Web3
Notion: https://t.co/yjYfmg3dnf
https://t.co/NskNkhRbtg",biodao.xyz,False,True
17,Blockchain for Climate foundation,#02E2AC,34,https://pbs.twimg.com/profile_images/1455859963889213445/x8wXr7Oh_normal.jpg,https://twitter.com/blockforclimate,@blockforclimate,Putting the Paris Agreement on #Ethereum w/ #NFTs. Enabling international collaboration on climate action by connecting national carbon accounts of the world.,blockchainforclimate.org/news,True,False
18,Blood M1n3,#02E2AC,41,https://pbs.twimg.com/profile_images/1491776089915637764/-30DXuWW_normal.jpg,https://twitter.com/bloodm1n3,@bloodm1n3,"🛰️ Mapping the world's illegal mines on Web3

@sosorinoco

#ARACAMUNI is our first #NFTCollection. #CANAIMA

 🛰️  Discord: https://t.co/N9NuhTKX9b",bloodmines.xyz,False,True
19,Bloom Network,#FFCC00,32,https://pbs.twimg.com/profile_images/1235620460685144064/1JdpOTwL_normal.jpg,https://twitter.com/ourbloomnetwork,@ourbloomnetwork,"International community of regenerative culture makers, producing local events and actions, and collaborating virtually.",bloomnetwork.org,False,True
20,Bloomeria,#02E2AC,35,https://pbs.twimg.com/profile_images/1355088367013212161/aLWrVK0j_normal.jpg,https://twitter.com/bloomeria_dao,@bloomeria_dao,"A #DAO to help #communities safeguard green areas.
#Cryptocurrency | #Fundraising | #NFTs | #CO2offseteconomy 
@KERNEL0x alumni",bloomeria.org,True,False
21,Brokoli,#02E2AC,2,https://pbs.twimg.com/profile_images/1430617946167066626/PR2b57fF_normal.jpg,https://twitter.com/brokolinetwork,@brokolinetwork,"Built ⤵️

🟢 Green trading 🟢 Green IDOs 🟢 Green Integrations 🟢 Green NFTs 🟢 

Green Metaverse 🔜

Powered by $BRKL

TG: https://t.co/CTqvjHIqec

#impact2earn",brokoli.network,True,False
22,Cabin,#4D82C1,19,https://pbs.twimg.com/profile_images/1458804832551247877/z8CMVDb8_normal.jpg,https://twitter.com/creatorcabins,@creatorcabins,🏡 a community of cabins for web3 workers 🌐 a DAO retreat & residency program 🌆 an experiment in decentralized cities || https://t.co/OQklH4Gp7m,linktr.ee/creatorcabins,False,True
23,Carbon Captors ,#02E2AC,41,https://pbs.twimg.com/profile_images/1496818455219216390/UwZ0CVsQ_normal.jpg,https://twitter.com/carboncaptors,@carboncaptors,Leveraging the power of Web3 and DAOs to become the fund for Carbon Capture engineered & nature based solutions. #CarbonCaptors,carboncaptors.xyz,False,True
